,Comment,Tag(s),,
Vendor Admin,"First off, we need better and more categories. My job is different from other sites and what I do on a daily basis is not in the system. I submit my own work orders and it is difficult to put them in with the wrong categories. There needs to be a category for mail and packages. Also need a category for escorting contractors.","Feature request, data issue",,
Facilities Manager,improve reporting,"Feature request, data issue",WO,
Vendor Admin,"Integrate the NTE feature in SI with financial software, like JDE. Additionally, when a global vendor is added into SI in one country, the Global Strategic Sourcing team should ensure the vendor is populated in all applicable countries so that CBRE Clients can take advantage of this value add service model.","Feature request, data issue",,
Site Manager,"It would be awesome if there was a field indicating whether or not the property is leased, owned or partially managed.","Feature request, data issue",,
Vendor Admin,It would be nice if there were a master list of manufacturers and models that covered all clients. We often get junk from the field in those two fields and have to do all sorts of cleanup.,"Feature request, data issue",,
Facility Manager,The SIREQUEST App and iMFM app doesnt allow the client/users to enter Priority parameters for work orders. When vantage analytics reports are run it looks like the team doesnt close out work orders in time because of the set priority code. ,"Feature request, data issue, role permission",WO,
Facilities Manager,1. PM library access to be restored since Jarvis access is still not available,"Feature request, Jarvis feedback, Bug",,
Finance & Accounting,Keep us better informed on the status of our service requests via email/call. ,"Feature Request, Process",,
Vendor Admin,more status to change to. waiting on vendor proposal. waiting on final docs. ,"Feature Request, Process",,
Vendor Admin,Validate vendors better. Reaction time to emergency work orders,"Feature Request, Process","Invoices, Quotes, WO",
Facilities Manager,we should be able to type our own category stop closing tickets without updating us on why,"Feature Request, Process",,
Facility Manager, I WOULD LIKE TO SEE A WAY ENGINEERS FROM THE Field COULD INPUT INFO ON NEW EQUIPMENT OR JUST EQUIPMENT IN GENERAL INTO SI7 INSTEAD OF WAITING EMAILING INFO TO ANOTHER PERSON TO COMPLETE BECAUSE WE IN THE Field ARE VISUALLY ONSITE WITH THE EQUIPMENT. BELIEVE WE IN THE FEILD WOULD GIVE BETTER Description AND LOCATION AS WELL AS FILL IN ALL THE BLANKS I SEE IN THE LOCATION AND INFO fields. ,"Feature request, role permission",,
Account Coordinator," It would be beneficial to have key subcontractors on site have access and be able to open tickets like in the previous application (canteen, 3rd party maintenance, security, etc.). It would also add greatly to the usefulness ","Feature request, role permission",WO,
Site Manager,1. Unable to use open SI on multiple accounts at the same time. eg: WAYMO and ANZ,"Feature request, role permission",,
Site Manager,Cannot reassign to contractors with the mobile app. This would be very helpful,"Feature request, role permission",WO,
Facility Manager,"Find a way to simplify the usage for the client. There are too many selections to choose from and therefor too many mistakes that can be made. If the client does not use it every day, it takes too long to find the correct selection/enter a work order which results in them reverting to sending us a mail and CBRE having to enter all the WO's. ","Feature request, role permission",Attachments,
Site Manager,"Hola,he entrado pero necesito las atribuciones de supervisor para poder abrir tickets y cerrarlos. Tambien en la aplicacion mobil amfm los tecnicos a cargo no han podido accesar y no se ven reflejados los reportes para poderlos visualizar","Feature request, role permission",,
Site Manager,I would like to have additional access to view all work orders for a particular facility that I oversee. ,"Feature request, role permission",Notifications,
Vendor Admin,It would be better if the locations were available for all employee houses and detachments. ,"Feature request, role permission",,
Site Manager,"Much of it is mainly for the property management division, engineers, maintenance, etc... I wish there was a version that's more for those of us that are strictly office management, where CBRE does not have the property management part too.","Feature request, role permission",,
Site Manager,Need to be adjusted per site and units or equipment's. A lots of procedures are not applied for the equipment's. Others are too poor.  Site Supervisors need privilege's to delete or add inspections. I think is the best way.,"Feature request, role permission",,
Vendor Admin,Perhaps more access for techs. ,"Feature request, role permission",,
Vendor Admin,The JSA for the PM jobs for my engineers are not applicable for their task.  The only option they have is Open / Complete.  The option N/A needs to be added so that we are truly filling them out correctly.  Right now you have to select complete to get it to show as closed. ,"Feature request, role permission",WO,
